EmployeeID,Name,Age,Gender,Department,Job Title,Date of Joining,Salary,Location,YearOfJoining
0066,Destiny Strickland,42,M,Finance,Finance Manager,2021-04-25,64814,West Scott,2021
0067,Cynthia Rogers,41,F,Marketing,Marketing Analyst,2025-05-26,71441,East Edwardfurt,2025
0068,Michelle Brown,51,M,HR,HR Executive,2020-07-17,39602,Perryborough,2020
0069,Jean Carrillo,54,F,Sales,Sales Executive,2025-12-05,47361,Port Nicoleshire,2025
0070,Aaron Bell,37,F,IT,Software Engineer,2024-01-02,67353,Medinaside,2024
0071,Stephanie Freeman,56,F,Finance,Finance Analyst,2019-03-14,110173,Johnsonmouth,2019
0072,Rebecca Ramsey,22,F,Operations,Logistics Manager,2024-11-15,116951,New Amanda,2024
0073,Leslie Alvarado,38,M,HR,HR Executive,2017-04-22,44029,Taylormouth,2017
0074,David Murphy,31,F,Operations,Logistics Manager,2021-01-06,66930,Kathleenfurt,2021
0075,Trevor Fisher,43,M,Sales,Sales Executive,2024-10-25,113130,Smithside,2024
0076,Trevor Walker,53,F,IT,System Administrator,2017-02-25,36658,Port Anthonybury,2017
0077,Alex Hernandez,49,F,HR,HR Manager,2017-09-24,35778,New Staciemouth,2017
0078,Pamela Jackson,30,F,HR,Recruiter,2022-07-17,51178,Port Loriport,2022
0079,Alexander Collins,57,F,Operations,Operations Lead,2023-03-30,103519,Sandersborough,2023
0080,Michael Burton,26,M,HR,HR Executive,2017-06-27,101511,Melissaville,2017
0081,Kylie Williams,59,M,HR,Recruiter,2021-10-18,86333,Caseymouth,2021
0082,Jason Henry,41,F,Finance,Accountant,2020-10-20,35229,Cynthiamouth,2020
0083,Jessica Gross,37,M,IT,Software Engineer,2026-02-14,76357,Christinaside,2026
0084,Julie Petersen,31,M,Sales,Sales Manager,2022-05-24,51299,Melissaland,2022
0085,Jerry Christensen,23,M,Finance,Finance Analyst,2022-03-02,73540,Rogersfort,2022
0086,Catherine Lewis,37,F,Marketing,Content Strategist,2024-06-12,50866,Joshuaview,2024
0087,Kellie Lee,46,M,Operations,Operations Executive,2018-11-18,91694,Freemanbury,2018
0088,Maria Henry,51,F,Finance,Accountant,2024-05-25,70001,West Jeffreybury,2024
0089,Kevin Kennedy,23,M,Finance,Accountant,2021-10-11,82227,Barajasside,2021
0090,Michael Nelson,26,F,IT,QA Engineer,2018-12-25,76025,Lake Jamesville,2018
0091,Tiffany Vaughn,47,F,Operations,Logistics Manager,2018-05-20,33617,Hillshire,2018
0092,Kelly Campbell,33,F,HR,Recruiter,2017-06-22,35014,West Jeremy,2017
0093,Adrian Ferguson,49,F,HR,HR Manager,2019-03-19,71114,New Kellyberg,2019
0094,Nicole Garcia,54,M,Marketing,Content Strategist,2016-08-03,80488,Taylormouth,2016
0095,Vincent King,38,M,Sales,Sales Executive,2025-01-31,87154,Port Cameronfort,2025
0096,Mark Brown,56,M,HR,HR Manager,2017-12-17,77739,Christopherbury,2017
0097,Phillip Obrien,43,F,Marketing,Marketing Analyst,2024-05-17,116951,Port Alexandra,2024
0098,Jeremy Dalton,41,F,HR,HR Manager,2026-05-15,117410,Ashleyton,2026
0099,Natalie Meza,47,F,Marketing,Marketing Manager,2018-07-19,102667,West Donna,2018
0100,Christopher Jones,48,F,Finance,Accountant,2016-06-29,118777,Norrisfort,2016
0101,David Mann,58,F,Operations,Operations Executive,2023-07-02,83225,Jonesbury,2023
0102,Rachel Weber,41,F,Sales,Sales Executive,2023-01-30,57549,South Danny,2023
0103,Chase Baker,60,F,Marketing,Content Strategist,2017-11-21,90946,East Laurashire,2017
0104,Jessica Harrison,35,F,Marketing,Marketing Manager,2019-07-05,52241,Benderhaven,2019
0105,Jessica George,40,F,Operations,Operations Executive,2025-05-13,42240,Cassandratown,2025
0106,Vernon Huff,41,M,Finance,Finance Manager,2022-03-22,56100,Port Emilyview,2022
0107,Pamela Thompson,24,M,Finance,Accountant,2021-08-28,92277,Moonburgh,2021
0108,Jessica Olsen DVM,51,F,Sales,Sales Executive,2021-03-02,112544,Cookville,2021
0109,Erin Steele,46,F,Sales,Sales Executive,2019-05-08,82383,Cervantesside,2019
0110,Brandon King,22,M,Finance,Accountant,2017-08-17,85724,Hancocktown,2017
0111,Kimberly Gutierrez,55,F,Finance,Accountant,2018-05-06,36582,Cindyfort,2018
0112,Olivia Harris,29,F,Sales,Sales Executive,2021-12-17,47477,Samuelfort,2021
0113,William Lynch,55,F,Marketing,Content Strategist,2018-11-11,88008,West Andrea,2018
0114,Anna Gay,54,F,Sales,Business Development,2025-08-06,101810,Valentineberg,2025
0115,Dr. Jordan Hill PhD,52,F,Marketing,Marketing Analyst,2026-04-09,63972,South Andrea,2026
0116,Thomas Romero,39,F,Finance,Finance Manager,2025-04-06,112149,West Kendrachester,2025
0117,Richard Adams,50,M,Finance,Finance Analyst,2016-06-29,67450,Maryshire,2016
0118,Mrs. Brittany Ryan MD,43,F,Finance,Finance Analyst,2021-12-27,100798,Gibsonmouth,2021
0119,Veronica Allen,31,M,HR,HR Executive,2020-04-18,80205,Williamsfort,2020
0120,Roberta Hughes,35,M,Operations,Operations Executive,2023-02-08,84377,South Tammie,2023
0121,Vincent Rivera,56,F,Marketing,Marketing Manager,2017-06-21,84496,Garciamouth,2017
0122,Charles Pitts,48,F,HR,HR Executive,2026-03-03,106556,South Kimberlyview,2026
0123,Michael Santos,58,F,Operations,Operations Executive,2024-12-26,92518,Finleyfort,2024
0124,Amanda Jones,41,F,HR,Recruiter,2022-10-12,84921,Wendyland,2022
0125,Brett Schultz,56,M,Sales,Business Development,2025-03-12,93993,Jacksonport,2025
0126,Amber Flynn,49,F,Finance,Finance Analyst,2019-05-27,33804,Ryanbury,2019
0127,Kylie Sparks,47,M,Marketing,Marketing Manager,2018-03-02,91261,New Monicabury,2018
0128,Mr. David Little MD,56,M,Finance,Finance Manager,2023-02-19,81645,Santanaside,2023
0129,Jeremy Reed,23,M,Sales,Business Development,2022-05-06,114246,Vaughnmouth,2022
0130,Christina Cruz,51,M,Marketing,Marketing Analyst,2021-04-20,36590,South Ashley,2021
0131,Wendy Phillips,42,M,IT,QA Engineer,2026-04-01,89598,Hillshire,2026
0132,Paula Beltran,46,F,IT,QA Engineer,2025-07-29,85255,Wallport,2025
0133,Crystal Pham,52,M,IT,Software Engineer,2018-08-29,100702,New John,2018
0134,Patricia Becker,36,M,HR,Recruiter,2017-11-01,115426,Lake Debbieport,2017
0135,Amanda Diaz,37,M,HR,HR Executive,2017-10-13,32671,Markchester,2017
0136,Carlos Ryan,37,M,Sales,Sales Executive,2026-03-08,92070,Mariaview,2026
0137,Terry Coffey,58,M,Operations,Operations Executive,2019-06-03,90952,Lindamouth,2019
0138,Brenda Levy,45,M,Operations,Operations Lead,2025-01-26,109415,Coffeyside,2025
0139,Richard Smith,29,M,Sales,Business Development,2021-11-01,70768,Richardsonview,2021
0140,Samantha Bentley,23,F,HR,HR Manager,2017-07-20,105470,South Angel,2017
0141,Kristina Herman,47,M,Operations,Operations Lead,2018-09-06,39961,Lake Madisonport,2018
0142,Audrey Williams,37,M,Sales,Business Development,2016-11-02,69529,Wilsonbury,2016
0143,Brandy Chavez,29,M,Operations,Logistics Manager,2023-03-05,75508,Matthewsberg,2023
0144,Mary Bass,45,M,Sales,Sales Manager,2022-08-16,96317,Antoniostad,2022
0145,Jeremy Young,22,F,Operations,Operations Lead,2020-02-04,94251,Amystad,2020
0146,Donald Donaldson,45,F,HR,Recruiter,2025-12-16,50052,Davisborough,2025
0147,Linda Smith,55,F,Marketing,Marketing Analyst,2024-05-03,110728,East Kristin,2024
0148,Ronald Spencer,51,F,Sales,Sales Manager,2022-05-02,107656,West Kim,2022
0149,Linda Ramirez,37,M,IT,QA Engineer,2026-04-23,66559,New John,2026
0150,Matthew Johnson,51,F,Marketing,Marketing Analyst,2016-08-13,74092,New Mario,2016
0151,Anthony Harmon,42,M,HR,Recruiter,2021-09-23,93904,South Shanestad,2021
0152,Ashley Gordon,38,F,Finance,Finance Analyst,2025-12-03,66655,Lake Kristahaven,2025
0153,Mason Johnson,39,M,Sales,Business Development,2026-06-15,97715,Simmonsville,2026
0154,Theodore Jones Jr.,37,F,Finance,Accountant,2022-07-21,94038,East Joshuashire,2022
0155,Erika Vang,52,F,Sales,Sales Executive,2021-10-10,88743,Wagnerchester,2021
0156,Michael Farrell,40,M,HR,HR Executive,2022-12-23,83005,South Shannon,2022
0157,Gerald Chavez,41,F,Operations,Operations Executive,2020-08-17,92031,West Ronaldview,2020
0158,Christian Leblanc,44,F,Sales,Business Development,2017-02-20,102140,North Ryanstad,2017
0159,Kristie Willis,51,F,IT,QA Engineer,2022-01-31,70189,Elizabethchester,2022
0160,Maurice Christensen,29,M,IT,Software Engineer,2025-02-24,71359,West Carolinestad,2025
0161,Jordan Moore,56,M,HR,HR Manager,2021-04-16,55105,West Meganstad,2021
0162,Donald Perez,52,F,Finance,Finance Manager,2020-10-04,107278,New Sarahview,2020
0163,Donald Farmer,40,M,Sales,Business Development,2025-09-07,55443,Adamberg,2025
0164,Jennifer Thomas,45,M,IT,Software Engineer,2022-10-19,69618,North Julieborough,2022
0165,Jesse Moore,56,M,HR,HR Manager,2019-08-02,65954,Kimberlyshire,2019
0166,Sophia Moore,57,F,HR,HR Executive,2024-01-05,46551,Lake Christophermouth,2024
0167,Karla Ramos,28,M,Operations,Operations Lead,2019-03-14,105243,West Russellport,2019
0168,Leslie Rose,52,F,IT,QA Engineer,2019-07-21,74657,South Tracey,2019
0169,Dan Dougherty,38,F,Finance,Accountant,2024-02-22,44953,Keithville,2024
0170,Paul Thompson,53,M,HR,Recruiter,2020-04-08,105631,New Angelica,2020
0171,Heather Sanders,25,M,Operations,Logistics Manager,2023-11-21,49555,Smithland,2023
0172,Laura Berry,27,M,Sales,Sales Manager,2023-07-25,45525,Robertsfurt,2023
0173,Frederick Solis,60,M,Sales,Sales Manager,2022-08-26,98494,Christopherville,2022
0174,Kevin Warren,50,F,Marketing,Marketing Manager,2020-06-04,107139,Juliebury,2020
0175,Christopher Dixon,58,M,Marketing,Marketing Manager,2017-08-10,109905,Port Michael,2017
0176,Sabrina Briggs,35,M,Operations,Operations Executive,2018-10-31,64687,West James,2018
0177,Paige Rios,32,M,Operations,Operations Executive,2018-03-29,52782,Marshallshire,2018
0178,Joann Glass,32,M,Sales,Sales Executive,2022-02-11,83545,Michellemouth,2022
0179,Barry Ramos,60,F,Marketing,Content Strategist,2019-07-01,68175,Brittanystad,2019
0180,Emily Hayes,40,F,HR,HR Executive,2017-01-13,89510,Chaseland,2017
0181,Katie Ford,36,F,HR,HR Manager,2022-01-04,111927,South Reginashire,2022
0182,Erica Alvarez,34,F,Sales,Business Development,2017-12-23,45043,South Dalemouth,2017
0183,Mrs. Maria Williams,31,F,Sales,Sales Executive,2023-07-18,48643,Warrenburgh,2023
0184,Thomas Hughes,32,F,HR,HR Executive,2024-03-19,107993,Port Crystalmouth,2024
0185,Brandon Gregory,40,F,Operations,Logistics Manager,2019-04-23,46299,West Christopher,2019
0186,Sydney Collins,41,F,Marketing,Content Strategist,2023-01-11,65683,Andersonland,2023
0187,James Conner,53,F,Sales,Business Development,2024-08-07,40543,Lake Ellenhaven,2024
0188,Jack White,49,F,Sales,Sales Executive,2018-08-11,109129,Leeberg,2018
0189,Edward French,27,M,IT,Software Engineer,2021-07-18,118381,Lake Matthewberg,2021
0190,Brittany White,23,F,Sales,Business Development,2023-05-25,105529,Lake Samuel,2023
0191,Michael Young,52,F,HR,HR Executive,2020-11-28,66458,Karenmouth,2020
0192,David Sheppard,49,F,Finance,Finance Manager,2024-04-24,41959,West Erika,2024
0193,Jessica Hammond,48,F,Marketing,Marketing Manager,2024-04-01,72081,Burchborough,2024
0194,Brenda Wright,32,F,Operations,Operations Executive,2022-11-18,83955,Angelaville,2022
0195,Kelli Martinez,40,F,Operations,Operations Lead,2017-04-22,102102,West Shannon,2017
0196,Sandra Davis,27,F,HR,Recruiter,2025-07-29,63082,Wilkersontown,2025
0197,James Brooks,47,M,IT,Software Engineer,2020-04-30,116200,West Jeffreymouth,2020
0198,Sara Santos,48,M,Sales,Sales Manager,2024-05-19,54586,North Justin,2024
0199,Melissa Taylor,53,F,Sales,Sales Manager,2023-07-11,36764,Gilbertland,2023
0200,Daniel Hernandez,57,M,Finance,Finance Analyst,2025-11-14,67752,Rodriguezport,2025
0201,Bryan Allen,53,M,Marketing,Content Strategist,2022-11-10,33783,Brownfort,2022
0202,Alexis Robertson,37,M,Operations,Logistics Manager,2018-11-20,70730,West Ruben,2018
0203,Cynthia Butler,57,F,Sales,Sales Executive,2023-02-10,42217,New Theresaland,2023
0204,Kimberly Hartman,51,M,Finance,Accountant,2021-07-18,114896,South Morganton,2021
0205,Veronica King,40,F,Finance,Finance Analyst,2016-08-18,84459,West Johnville,2016
0206,Nancy Cook,37,F,Marketing,Marketing Manager,2016-11-28,102255,Lisaburgh,2016
0207,Melinda Pollard,34,M,Finance,Finance Analyst,2021-04-03,39150,Port Dennis,2021
0208,Terri Johnson,43,F,IT,QA Engineer,2018-06-26,30336,North Leslie,2018
0209,James Ochoa,41,F,IT,System Administrator,2021-03-15,49476,Port Deborahport,2021
0210,Richard Glenn,52,F,Marketing,Content Strategist,2019-10-15,73573,Port Michealfurt,2019
0211,Stephanie Hughes,46,F,Sales,Business Development,2026-03-17,72176,Holtstad,2026
0212,Kelly Owen,37,F,Finance,Finance Manager,2023-09-28,60613,South Carrieburgh,2023
0213,Erica Miller,42,F,Marketing,Marketing Analyst,2023-01-29,79968,Seanchester,2023
0214,Jeremy West,31,F,Marketing,Content Strategist,2023-09-27,34852,Christinachester,2023
0215,William Gould,59,F,Finance,Finance Manager,2017-03-21,43154,Coxburgh,2017
0216,Brenda Lawson,55,F,Marketing,Marketing Analyst,2024-04-13,32011,East Carlosstad,2024
0217,Travis Johnson,48,M,Operations,Operations Executive,2018-01-01,39807,Rushstad,2018
0218,Billy Taylor,43,F,Marketing,Marketing Manager,2020-02-20,115175,Debrabury,2020
0219,Allison Lopez,56,F,HR,Recruiter,2021-08-24,71505,West Kimberlymouth,2021
0220,Logan Benson,53,M,Operations,Logistics Manager,2026-06-15,110931,North Derek,2026
0221,Christopher Reeves,40,M,HR,HR Executive,2026-06-10,41846,Elizabethland,2026
0222,Donna Evans,28,F,Marketing,Marketing Analyst,2018-01-16,51805,Port Michael,2018
0223,William Conner,23,M,Operations,Operations Lead,2018-11-01,72516,Johnsonside,2018
0224,Julie Bird,44,F,HR,Recruiter,2017-10-07,86450,North Kylefort,2017
0225,Patricia Morrow,55,F,Finance,Accountant,2017-03-16,104177,Dawnmouth,2017
0226,Joseph Anderson,32,M,Operations,Operations Executive,2024-10-04,40350,Port Tammy,2024
0227,Thomas Brown,37,F,Sales,Sales Manager,2017-09-16,106435,West Fred,2017
0228,Michael Reed,51,F,Finance,Accountant,2025-11-17,90236,Meghanview,2025
0229,Tyler Hill,22,F,IT,System Administrator,2022-09-20,67700,New Danielleshire,2022
0230,Brittany Hopkins,32,M,Operations,Logistics Manager,2023-09-04,87898,Meganshire,2023
0231,Scott Miller,41,F,IT,System Administrator,2025-12-15,62780,Debrashire,2025
0232,Mark Jimenez,34,F,Marketing,Marketing Manager,2022-09-28,93335,Dawnport,2022
0233,Dr. Michael Evans,46,F,HR,HR Executive,2017-03-13,105341,East Scottfort,2017
0234,Gerald Thomas,40,M,IT,System Administrator,2025-01-31,116275,Jessicastad,2025
0235,Bianca Wood,22,M,Marketing,Marketing Manager,2022-01-31,109482,Johnville,2022
0236,David Davis,40,M,Operations,Operations Lead,2019-05-16,109569,Linchester,2019
0237,Sean Moore,34,F,IT,Software Engineer,2019-09-29,118835,Jamesburgh,2019
0238,Mr. Jonathan Parker Jr.,30,M,Operations,Logistics Manager,2025-12-02,112242,Levyborough,2025
0239,Amber Campbell,41,F,Operations,Operations Executive,2022-06-11,34373,Mitchelltown,2022
0240,Jessica Khan,30,M,Sales,Sales Manager,2023-09-29,68680,Diazfurt,2023
0241,Justin Cox,48,M,IT,System Administrator,2019-05-10,56318,Gordonside,2019
0242,William Becker,45,F,Finance,Finance Manager,2017-08-28,51567,South Nathanielmouth,2017
0243,Holly Thomas,40,F,IT,QA Engineer,2022-06-29,45095,Porterton,2022
0244,Micheal Brock,31,M,Marketing,Marketing Analyst,2021-08-30,118647,New Patricia,2021
0245,Timothy Flores,47,F,Operations,Logistics Manager,2020-05-25,41836,Brittneyhaven,2020
0246,Kim Erickson,38,M,Marketing,Marketing Analyst,2019-06-20,89609,West Markville,2019
0247,Lauren Robles,38,F,IT,System Administrator,2023-09-21,113695,New Thomasshire,2023
0248,Mikayla Silva,36,F,IT,Software Engineer,2018-03-04,33280,Hernandezbury,2018
0249,Travis Rodriguez,42,M,Sales,Business Development,2016-08-28,114889,Robertchester,2016
0250,Jennifer Hampton,51,F,HR,HR Manager,2025-09-03,115097,Lake Devinborough,2025
0251,Yolanda Mendoza,30,M,Marketing,Marketing Analyst,2020-03-27,34877,South Rhonda,2020
0252,Hector Ingram,29,M,IT,QA Engineer,2023-09-05,60775,Chelseaborough,2023
0253,Diana Evans,46,F,Sales,Sales Executive,2025-11-19,78629,Kellieborough,2025
0254,Katherine Castillo,56,F,Operations,Logistics Manager,2022-01-27,106983,Keithshire,2022
0255,Jamie Baird,31,F,Operations,Logistics Manager,2024-08-26,115841,West Bobby,2024
0256,Angela Bradshaw,48,F,HR,Recruiter,2023-01-11,34288,Lewisside,2023
0257,Justin Nelson,35,F,Operations,Operations Lead,2017-07-24,88287,East Brent,2017
0258,Courtney Hall,28,F,Finance,Finance Analyst,2017-06-21,101364,Jenniferville,2017
0259,Brenda Oconnell,25,F,Operations,Operations Lead,2026-04-01,66160,South Denise,2026
0260,Karen Santos,51,M,Finance,Accountant,2024-01-11,116870,Manuelton,2024
0261,Ann Andrews,60,M,Finance,Finance Manager,2021-10-26,36629,East Robertburgh,2021
0262,Amanda Huff,30,M,IT,Software Engineer,2024-05-07,38992,Lake Suzanne,2024
0263,Sherri Smith,59,M,Sales,Sales Executive,2022-02-23,60539,West Justinside,2022
0264,Stacy Anderson,60,M,IT,Software Engineer,2021-07-05,66342,Jamesville,2021
0265,Nicholas Wong,56,F,Finance,Accountant,2023-08-28,52871,Lake Matthewport,2023
0266,Nicole Thompson,23,M,HR,HR Manager,2025-01-11,31947,Wilcoxhaven,2025
0267,James Davis,59,F,IT,Software Engineer,2026-04-15,32068,Morrisbury,2026
0268,James Griffin,25,M,Finance,Finance Analyst,2019-02-20,85176,Kevinshire,2019
0269,Matthew Schwartz,26,F,Sales,Sales Executive,2017-02-01,88756,South Kurtfurt,2017
0270,Tammy Barron,59,M,IT,System Administrator,2024-03-02,89245,Lake Sabrinaport,2024
0271,Daniel Bernard,24,F,Sales,Sales Executive,2021-04-01,90036,Adkinsstad,2021
0272,Joshua Ruiz,25,F,Operations,Operations Executive,2021-11-04,82640,Port John,2021
0273,Shelley Miller,28,F,Marketing,Content Strategist,2020-12-07,88138,Christianshire,2020
0274,Ronald Leach,42,M,HR,HR Executive,2018-06-28,38609,East Mark,2018
0275,Audrey Harris,59,F,Finance,Finance Analyst,2022-04-20,79925,New Seanton,2022
0276,Jose Bryant,40,F,Sales,Business Development,2017-01-16,96263,Chambersport,2017
0277,Jennifer Velasquez,28,M,Sales,Sales Manager,2023-12-05,115814,North Rodneyland,2023
0278,Amy Shannon,35,F,Operations,Logistics Manager,2026-05-01,89186,Johnsonchester,2026
0279,Chad May,43,F,Finance,Finance Analyst,2023-10-06,82262,Brooksfurt,2023
0280,Thomas Bennett,28,F,Marketing,Content Strategist,2017-04-09,85936,Lake Michelle,2017
0281,Willie Long,38,F,IT,System Administrator,2017-09-28,50006,Port Adam,2017
0282,Edwin Nunez,26,M,Operations,Operations Lead,2021-11-29,41188,Morrowbury,2021
0283,Christopher Lopez,28,F,HR,Recruiter,2025-03-22,47054,North Lisachester,2025
0284,Taylor Small,59,F,Sales,Sales Executive,2018-11-16,117819,North Brittneymouth,2018
0285,Michele Williams,44,F,HR,Recruiter,2023-11-16,36743,Gonzalesside,2023
0286,Scott Brown,41,F,IT,System Administrator,2021-07-04,43579,Jimshire,2021
0287,Kyle Chambers,35,M,Sales,Business Development,2019-09-04,116079,Nancyhaven,2019
0288,Eric Brown,28,F,Marketing,Marketing Analyst,2025-12-14,102910,Lake Erika,2025
0289,Amber Cooper,39,M,IT,Software Engineer,2022-11-26,86244,Floydmouth,2022
0290,Jennifer Evans,57,M,Sales,Business Development,2018-04-22,109822,Allenbury,2018
0291,Michael Shaffer,39,M,Operations,Logistics Manager,2025-08-13,53647,Faulknerside,2025
0292,Jasmine Scott,41,F,IT,System Administrator,2019-10-09,76009,South Melanieland,2019
0293,Sandra Williams,31,F,HR,HR Executive,2020-03-28,39120,Port Charlesshire,2020
0294,Kristin Mendoza,23,M,Finance,Finance Manager,2025-03-01,99531,Kevintown,2025
0295,Colton Figueroa,48,F,Finance,Finance Analyst,2023-12-09,74681,Rochaborough,2023
0296,David Morris,41,F,Finance,Finance Analyst,2019-04-20,104395,Fergusonstad,2019
0297,Ian Andrade,25,M,Sales,Sales Executive,2021-02-16,50632,Gillmouth,2021
0298,Jacqueline Gutierrez,27,F,Sales,Sales Executive,2022-02-03,88079,Lake Dustin,2022
0299,Timothy Riley,53,F,Operations,Operations Lead,2020-08-23,84287,East Mark,2020
0300,Roy Porter,54,M,IT,Software Engineer,2023-01-06,75242,Jonathanfort,2023
0301,Maria Henry,40,F,Marketing,Marketing Analyst,2018-02-24,99066,Garyside,2018
0302,Thomas Weaver DDS,24,M,Operations,Operations Lead,2017-01-20,81807,Port Melanieton,2017
